net,length_um
_1399_,10.86µm
_0857_,10.84µm
_0737_,10.82µm
_1066_,10.82µm
_1138_,10.82µm
net81,10.82µm
_0632_,10.8µm
_1259_,10.78µm
_1094_,10.76µm
_1201_,10.76µm
_1167_,10.74µm
_1456_,10.74µm
_1463_,10.74µm
_0197_,10.72µm
_0163_,10.7µm
net329,10.7µm
_0939_,10.66µm
net7,10.64µm
_0931_,10.62µm
_1299_,10.62µm
_0636_,10.58µm
_0928_,10.54µm
net75,10.54µm
_1280_,10.52µm
_1333_,10.5µm
_1361_,10.5µm
_1583_,10.5µm
_0109_,10.46µm
_0087_,10.44µm
_0547_,10.44µm
_0922_,10.4µm
_0602_,10.38µm
_1511_,10.38µm
_0288_,10.36µm
_1041_,10.36µm
_1489_,10.36µm
_0938_,10.34µm
Encode_Done_A,10.32µm
_0115_,10.32µm
_1014_,10.32µm
net25,10.32µm
_0513_,10.28µm
_0791_,10.28µm
net88,10.28µm
_1181_,10.26µm
_1198_,10.24µm
ALU_Done_all,10.22µm
_1059_,10.22µm
_1079_,10.2µm
net24,10.2µm
_0662_,10.18µm
_1091_,10.16µm
_0765_,10.1µm
_0576_,10.08µm
_0784_,10.04µm
_0875_,10.04µm
_1193_,10.04µm
_0275_,10µm
_0548_,10µm
_0963_,10µm
net106,10µm
_0161_,9.98µm
_0792_,9.98µm
net48,9.98µm
_0327_,9.96µm
_0397_,9.96µm
_0968_,9.96µm
_1188_,9.96µm
_0212_,9.94µm
_1435_,9.94µm
_1574_,9.94µm
net333,9.94µm
_0176_,9.9µm
_0419_,9.9µm
_0323_,9.88µm
_0697_,9.88µm
_1064_,9.88µm
net372,9.88µm
_0491_,9.86µm
_1563_,9.835µm
net386,9.8µm
_0295_,9.78µm
_1443_,9.78µm
net91,9.76µm
net381,9.74µm
_0699_,9.66µm
_0917_,9.66µm
net82,9.66µm
_0358_,9.65µm
A_in[0],9.64µm
A_in[10],9.64µm
A_in[11],9.64µm
A_in[12],9.64µm
A_in[13],9.64µm
A_in[14],9.64µm
A_in[15],9.64µm
A_in[7],9.64µm
A_in[8],9.64µm
A_in[9],9.64µm
_0373_,9.58µm
_0126_,9.54µm
_0157_,9.52µm
_0484_,9.5µm
_1340_,9.5µm
_0546_,9.48µm
_0736_,9.48µm
_1143_,9.48µm
net324,9.48µm
_1180_,9.46µm
_0759_,9.42µm
_1109_,9.42µm
_1139_,9.42µm
_1363_,9.4µm
_1543_,9.4µm
_1513_,9.38µm
_0217_,9.36µm
_0470_,9.36µm
_0851_,9.36µm
_0878_,9.36µm
_0943_,9.36µm
_1189_,9.36µm
_1378_,9.36µm
_1524_,9.36µm
_1588_,9.36µm
_0711_,9.32µm
_1512_,9.295µm
_0243_,9.28µm
_0716_,9.28µm
_0976_,9.28µm
_1396_,9.28µm
_0302_,9.26µm
_0052_,9.24µm
net371,9.24µm
_1027_,9.2µm
_1541_,9.2µm
_0417_,9.18µm
_1344_,9.14µm
_1282_,9.12µm
_1529_,9.12µm
net338,9.09µm
_1152_,9.08µm
_1464_,9.08µm
_1056_,9.04µm
X_crt\[14\],9.02µm
_0666_,9.02µm
_0839_,9.02µm
net341,9.02µm
_0590_,9µm
_1357_,9µm
_0952_,8.98µm
_1116_,8.98µm
_1192_,8.98µm
_0340_,8.97µm
_0010_,8.96µm
_0264_,8.94µm
_1348_,8.94µm
net379,8.94µm
_0199_,8.92µm
_0649_,8.92µm
_0843_,8.92µm
_0256_,8.9µm
_1196_,8.9µm
_0707_,8.86µm
_1289_,8.86µm
_1359_,8.86µm
