Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading OpenROAD database at '/work/runs/RUN_2026-03-17_14-05-48/30-openroad-cts/rns_top_crt.odb'…
Reading design constraints file at 'designs/_shared/ll_policy/constraints.sdc'…
[INFO] No information on clock propagation in input SDC file-- propagating all clocks.
[INFO] Setting RC values…
[INFO RSZ-0094] Found 39 endpoints with setup violations.
[INFO RSZ-0099] Repairing 39 out of 39 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |            | Endpts | Endpt
---------------------------------------------------------------------------------------------------
      870 |       0 |     334 |      222 |      0 |   145 |   -9.218 |     -207.6 |     39 | _3238_/D
      880 |       0 |     337 |      232 |      0 |   148 |   -9.218 |     -207.7 |     39 | _3238_/D
      890 |       0 |     343 |      234 |      0 |   151 |   -9.218 |     -207.5 |     39 | _3238_/D
      900 |       0 |     349 |      238 |      0 |   153 |   -9.218 |     -207.6 |     39 | _3238_/D
      910 |       0 |     355 |      238 |      0 |   157 |   -9.218 |     -207.9 |     39 | _3238_/D
      920 |       0 |     361 |      240 |      0 |   160 |   -9.218 |     -207.8 |     39 | _3238_/D
      930 |       0 |     366 |      243 |      1 |   163 |   -9.218 |     -208.0 |     39 | _3238_/D
      936 |       0 |     366 |      244 |      1 |   162 |   -9.218 |     -208.0 |     39 | _3238_/D
      939 |       0 |     367 |      244 |      1 |   163 |   -9.218 |     -207.9 |     39 | _3238_/D
      940 |       0 |     367 |      244 |      1 |   163 |   -9.218 |     -207.9 |     39 | _3238_/D
      943 |       0 |     368 |      245 |      1 |   164 |   -9.218 |     -207.9 |     39 | _3238_/D
      950 |       0 |     373 |      245 |      1 |   165 |   -9.218 |     -206.9 |     39 | _3238_/D
      960 |       0 |     382 |      245 |      1 |   166 |   -9.218 |     -206.2 |     39 | _3238_/D
      970 |       0 |     388 |      253 |      1 |   167 |   -9.219 |     -205.8 |     39 | _3238_/D
      980 |       0 |     392 |      255 |      1 |   172 |   -9.219 |     -205.3 |     39 | _3238_/D
      990 |       0 |     396 |      257 |      1 |   177 |   -9.219 |     -205.4 |     39 | _3238_/D
     1000 |       0 |     401 |      257 |      1 |   182 |   -9.219 |     -205.1 |     39 | _3238_/D
     1010 |       0 |     406 |      262 |      1 |   185 |   -9.219 |     -204.7 |     39 | _3238_/D
     1010 |       0 |     385 |      252 |      1 |   166 |   -9.218 |     -206.2 |     39 | _3238_/D
     1020 |       0 |     391 |      260 |      1 |   166 |   -9.219 |     -205.7 |     39 | _3238_/D
     1030 |       0 |     399 |      264 |      1 |   166 |   -9.219 |     -205.1 |     39 | _3238_/D
     1040 |       0 |     407 |      268 |      1 |   166 |   -9.219 |     -204.7 |     39 | _3238_/D
     1050 |       0 |     410 |      274 |      1 |   170 |   -9.219 |     -204.5 |     39 | _3238_/D
     1060 |       0 |     418 |      276 |      1 |   171 |   -9.220 |     -203.6 |     39 | _3238_/D
     1064 |       0 |     399 |      264 |      1 |   166 |   -9.218 |     -206.0 |     39 | _3238_/D
     1070 |       0 |     403 |      268 |      1 |   166 |   -9.219 |     -205.9 |     39 | _3238_/D
     1080 |       0 |     411 |      272 |      1 |   166 |   -9.219 |     -205.3 |     39 | _3238_/D
     1090 |       0 |     418 |      278 |      1 |   166 |   -9.219 |     -204.8 |     39 | _3238_/D
     1100 |       0 |     425 |      284 |      1 |   166 |   -9.220 |     -204.2 |     39 | _3238_/D
