Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading OpenROAD database at '/work/runs/RUN_2026-03-17_14-13-35/30-openroad-cts/rns_top_crt.odb'…
Reading design constraints file at 'designs/_shared/ll_policy/constraints.sdc'…
[INFO] No information on clock propagation in input SDC file-- propagating all clocks.
[INFO] Setting RC values…
[INFO RSZ-0094] Found 39 endpoints with setup violations.
[INFO RSZ-0099] Repairing 39 out of 39 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |            | Endpts | Endpt
---------------------------------------------------------------------------------------------------
      910 |       0 |     307 |      272 |      0 |   128 |   -9.377 |     -213.2 |     39 | _3238_/D
      920 |       0 |     311 |      274 |      0 |   133 |   -9.377 |     -213.8 |     39 | _3238_/D
      930 |       0 |     318 |      278 |      0 |   134 |   -9.377 |     -214.2 |     39 | _3238_/D
      940 |       0 |     322 |      286 |      0 |   136 |   -9.377 |     -214.4 |     39 | _3238_/D
      950 |       0 |     329 |      288 |      0 |   138 |   -9.377 |     -214.7 |     39 | _3238_/D
      954 |       0 |     309 |      278 |      0 |   128 |   -9.377 |     -213.1 |     39 | _3238_/D
      960 |       0 |     311 |      285 |      0 |   128 |   -9.377 |     -215.3 |     39 | _3238_/D
      970 |       0 |     318 |      291 |      0 |   128 |   -9.377 |     -216.6 |     39 | _3238_/D
      974 |       0 |     311 |      285 |      0 |   128 |   -9.377 |     -213.0 |     39 | _3238_/D
      980 |       0 |     315 |      287 |      0 |   128 |   -9.377 |     -213.2 |     39 | _3238_/D
      990 |       0 |     320 |      297 |      0 |   128 |   -9.377 |     -213.9 |     39 | _3238_/D
     1000 |       0 |     326 |      303 |      0 |   129 |   -9.377 |     -213.5 |     39 | _3238_/D
     1010 |       0 |     333 |      307 |      0 |   130 |   -9.377 |     -213.9 |     39 | _3238_/D
     1011 |       0 |     315 |      295 |      0 |   128 |   -9.377 |     -213.0 |     39 | _3238_/D
     1020 |       0 |     319 |      301 |      0 |   129 |   -9.377 |     -213.1 |     39 | _3238_/D
     1030 |       0 |     325 |      309 |      0 |   129 |   -9.377 |     -213.9 |     39 | _3238_/D
     1040 |       0 |     331 |      315 |      0 |   130 |   -9.377 |     -214.0 |     39 | _3238_/D
     1041 |       0 |     317 |      304 |      0 |   128 |   -9.377 |     -213.0 |     39 | _3238_/D
     1050 |       0 |     321 |      311 |      0 |   129 |   -9.377 |     -215.4 |     39 | _3238_/D
     1060 |       0 |     326 |      319 |      0 |   130 |   -9.377 |     -215.1 |     39 | _3238_/D
     1060 |       0 |     318 |      311 |      0 |   128 |   -9.377 |     -213.0 |     39 | _3238_/D
     1070 |       0 |     326 |      311 |      0 |   129 |   -9.377 |     -212.4 |     39 | _3238_/D
     1080 |       0 |     334 |      311 |      0 |   131 |   -9.377 |     -212.1 |     39 | _3238_/D
     1090 |       0 |     338 |      317 |      0 |   135 |   -9.377 |     -211.8 |     39 | _3238_/D
     1100 |       0 |     343 |      324 |      0 |   137 |   -9.377 |     -211.6 |     39 | _3238_/D
     1110 |       0 |     348 |      328 |      0 |   140 |   -9.377 |     -211.2 |     39 | _3238_/D
     1120 |       0 |     354 |      331 |      0 |   143 |   -9.377 |     -211.7 |     39 | _3238_/D
