net,length_um
B_in[9],7.69µm
_1268_,7.68µm
_0642_,7.64µm
_0644_,7.64µm
_0736_,7.64µm
_1581_,7.64µm
_0007_,7.6µm
_0701_,7.6µm
B_in[0],7.59µm
_0720_,7.56µm
_1099_,7.54µm
_1425_,7.54µm
_0139_,7.52µm
_0710_,7.52µm
_1411_,7.52µm
_0692_,7.48µm
_0152_,7.46µm
_0315_,7.44µm
_0340_,7.44µm
_0931_,7.44µm
_1309_,7.42µm
_0694_,7.405µm
X_crt\[11\],7.4µm
_0671_,7.4µm
_1017_,7.38µm
B_in[10],7.35µm
B_in[8],7.35µm
_1409_,7.34µm
_0008_,7.32µm
_0198_,7.32µm
_0588_,7.32µm
_1048_,7.32µm
